municipality_id,municipality,date,ifr,index
520140.0,Aparecida de Goiânia,2020-03-25,0.002963078982729035,502.1923076923077
520140.0,Aparecida de Goiânia,2020-03-26,0.002966882937039565,502.1923076923077
520140.0,Aparecida de Goiânia,2020-03-27,0.002970686891350095,502.1923076923077
520140.0,Aparecida de Goiânia,2020-03-28,0.0029744908456606255,502.1923076923077
520140.0,Aparecida de Goiânia,2020-03-29,0.002978294799971155,502.1923076923077
520140.0,Aparecida de Goiânia,2020-03-30,0.0029820987542816856,502.1923076923077
520140.0,Aparecida de Goiânia,2020-03-31,0.0029859027085922143,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-01,0.0029897066629027457,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-02,0.0029935106172132753,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-03,0.0029973145715238058,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-04,0.003001118525834336,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-05,0.003004922480144866,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-06,0.0030087264344553963,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-07,0.003012530388765926,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-08,0.003016334343076456,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-09,0.0030201382973869865,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-10,0.0030239422516975165,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-11,0.0030277462060080466,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-12,0.003031550160318576,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-13,0.003035354114629107,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-14,0.0030391580689396363,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-15,0.003042962023250167,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-16,0.0030467659775606963,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-17,0.0030505699318712273,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-18,0.003054373886181757,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-19,0.003058177840492287,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-20,0.003061981794802817,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-21,0.0030657857491133487,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-22,0.0030695897034238788,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-23,0.0030733936577344075,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-24,0.0030771976120449376,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-25,0.0030810015663554667,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-26,0.0030848055206659977,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-27,0.003088609474976529,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-28,0.0030924134292870586,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-29,0.003096217383597589,502.1923076923077
520140.0,Aparecida de Goiânia,2020-04-30,0.003100021337908119,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-01,0.0031038252922186474,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-02,0.003107629246529179,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-03,0.003111433200839709,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-04,0.003115237155150238,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-05,0.003119041109460768,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-06,0.003122845063771298,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-07,0.0031266490180818294,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-08,0.0031304529723923604,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-09,0.00313425692670289,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-10,0.0031380608810134196,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-11,0.003141864835323949,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-12,0.0031456687896344797,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-13,0.0031494727439450106,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-14,0.0031532766982555398,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-15,0.0031570806525660694,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-16,0.0031608846068766007,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-17,0.0031646885611871303,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-18,0.00316849251549766,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-19,0.00317229646980819,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-20,0.0031761004241187205,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-21,0.0031799043784292505,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-22,0.0031837083327397805,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-23,0.00318751228705031,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-24,0.0031913162413608406,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-25,0.0031951201956713715,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-26,0.0031989241499819007,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-27,0.0032027281042924316,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-28,0.0032065320586029612,502.1923076923077
520140.0,Aparecida de Goiânia,2020-05-29,0.0032103360129134913,502.1923076923077
