,index,LAG,CORRELATION,y,title
0,count,4.0,4.0,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(directly)"
1,mean,1.75,0.12154652551729493,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(directly)"
2,std,0.9574271077563381,0.023626712959039915,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(directly)"
3,min,1.0,0.0996633651876002,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(directly)"
4,25%,1.0,0.10953228151196878,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(directly)"
5,50%,1.5,0.11581358430485436,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(directly)"
6,75%,2.25,0.1278278283101805,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(directly)"
7,max,3.0,0.1548955682718708,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(directly)"
8,count,1.0,1.0,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(inversely)"
9,mean,10.0,0.1366740287076234,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(inversely)"
10,std,,,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(inversely)"
11,min,10.0,0.1366740287076234,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(inversely)"
12,25%,10.0,0.1366740287076234,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(inversely)"
13,50%,10.0,0.1366740287076234,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(inversely)"
14,75%,10.0,0.1366740287076234,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(inversely)"
15,max,10.0,0.1366740287076234,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(inversely)"
16,count,13.0,13.0,$R_{0}^{'}$,"$\Delta_{H}^{''}$ lags $R_{0}^{'}$
(directly)"
17,mean,5.153846153846154,0.12027679126376858,$R_{0}^{'}$,"$\Delta_{H}^{''}$ lags $R_{0}^{'}$
(directly)"
18,std,5.800088416655874,0.015171597816185042,$R_{0}^{'}$,"$\Delta_{H}^{''}$ lags $R_{0}^{'}$
(directly)"
19,min,1.0,0.0936624525354045,$R_{0}^{'}$,"$\Delta_{H}^{''}$ lags $R_{0}^{'}$
(directly)"
20,25%,1.0,0.1103957252855107,$R_{0}^{'}$,"$\Delta_{H}^{''}$ lags $R_{0}^{'}$
(directly)"
21,50%,3.0,0.124243529773043,$R_{0}^{'}$,"$\Delta_{H}^{''}$ lags $R_{0}^{'}$
(directly)"
22,75%,7.0,0.1254691384646712,$R_{0}^{'}$,"$\Delta_{H}^{''}$ lags $R_{0}^{'}$
(directly)"
23,max,20.0,0.1442459235856172,$R_{0}^{'}$,"$\Delta_{H}^{''}$ lags $R_{0}^{'}$
(directly)"
